track_id,backend,decoded_seconds_before_padding,peak,rms
2,librosa,29.976598639455784,0.9484187364578247,0.16527560353279114
5,librosa,30.0,0.6184788346290588,0.1694624423980713
10,librosa,29.976598639455784,1.019974946975708,0.19341911375522614
140,librosa,29.976598639455784,0.8498895168304443,0.07900244742631912
141,librosa,29.976598639455784,0.9028109908103943,0.1279771625995636
148,librosa,29.976598639455784,1.0745978355407715,0.48326608538627625
182,librosa,30.0,0.9545046091079712,0.2763456106185913
190,librosa,30.0,1.025637149810791,0.14807161688804626
193,librosa,29.976598639455784,0.6773528456687927,0.09394014626741409
194,librosa,30.0,0.8891209363937378,0.11195169389247894
197,librosa,29.976598639455784,0.5816731452941895,0.05913543701171875
200,librosa,29.976598639455784,1.0281987190246582,0.13826921582221985
203,librosa,29.976598639455784,0.7115042209625244,0.09633078426122665
204,librosa,29.976598639455784,0.7782079577445984,0.12478150427341461
207,librosa,29.976598639455784,0.6077685952186584,0.06964679807424545
210,librosa,30.0,1.0449327230453491,0.16849073767662048
211,librosa,29.976598639455784,1.014570713043213,0.1520881950855255
212,librosa,29.976598639455784,0.7760800123214722,0.1189849004149437
213,librosa,29.976598639455784,0.6573050022125244,0.07818082720041275
255,librosa,29.976598639455784,0.9060888290405273,0.1502099335193634
256,librosa,29.976598639455784,0.9942349791526794,0.28988227248191833
368,librosa,29.976598639455784,0.4759376645088196,0.07952257245779037
424,librosa,29.976598639455784,0.7971680760383606,0.14525875449180603
459,librosa,30.0,1.1442103385925293,0.3717125952243805
534,librosa,29.976598639455784,0.6962397694587708,0.10235224664211273
540,librosa,29.976598639455784,0.6376829147338867,0.1011788621544838
546,librosa,29.976598639455784,0.5720959901809692,0.09401905536651611
574,librosa,29.976598639455784,0.9595012664794922,0.2780555486679077
602,librosa,29.976598639455784,0.2973933815956116,0.04891347140073776
615,librosa,30.0,0.21213972568511963,0.06056393310427666
620,librosa,29.976598639455784,0.6739944219589233,0.11582128703594208
621,librosa,29.976598639455784,1.0194981098175049,0.17373493313789368
625,librosa,30.0,1.007951259613037,0.20384159684181213
666,librosa,30.0,0.6104621291160583,0.1510266661643982
667,librosa,29.976598639455784,0.6777725219726562,0.13064372539520264
676,librosa,29.976598639455784,0.9497029185295105,0.23301680386066437
690,librosa,29.976598639455784,0.8975697755813599,0.27608704566955566
694,librosa,29.976598639455784,0.9916689395904541,0.15804755687713623
695,librosa,29.976598639455784,0.990080714225769,0.20441511273384094
704,librosa,29.976598639455784,1.284617304801941,0.28487691283226013
705,librosa,29.976598639455784,1.1246141195297241,0.3068713843822479
706,librosa,30.0,1.0651676654815674,0.29649782180786133
707,librosa,29.976598639455784,1.0121828317642212,0.3512265086174011
708,librosa,29.976598639455784,1.0401923656463623,0.3062730133533478
709,librosa,30.0,0.9779094457626343,0.2357708066701889
714,librosa,29.976598639455784,0.9649246335029602,0.30645641684532166
715,librosa,29.976598639455784,0.8242241144180298,0.1514149010181427
716,librosa,29.976598639455784,0.6549354791641235,0.18242031335830688
718,librosa,30.0,0.6769950985908508,0.1278291791677475
777,librosa,29.976598639455784,0.8402551412582397,0.13366663455963135
814,librosa,29.976598639455784,0.5934814810752869,0.12793275713920593
821,librosa,30.0,1.0091378688812256,0.1561218649148941
822,librosa,29.976598639455784,0.9924463033676147,0.21389779448509216
825,librosa,29.976598639455784,1.0589611530303955,0.45404255390167236
853,librosa,30.0,0.975935697555542,0.18096491694450378
890,librosa,29.976598639455784,0.11712410300970078,0.02231212705373764
892,librosa,29.976598639455784,0.9843746423721313,0.2713262736797333
897,librosa,29.976598639455784,0.8417326211929321,0.20685207843780518
993,librosa,30.0,0.9473966360092163,0.24405276775360107
995,librosa,30.0,1.0690455436706543,0.4080333709716797
997,librosa,30.0,1.1007709503173828,0.3530048429965973
998,librosa,29.976598639455784,1.06113600730896,0.39217284321784973
1039,librosa,29.976598639455784,0.9559439420700073,0.274292916059494
1040,librosa,29.976598639455784,1.070452094078064,0.3544643521308899
1066,librosa,30.0,0.4837956130504608,0.07379083335399628
1069,librosa,29.976598639455784,1.0432080030441284,0.19117629528045654
1073,librosa,30.0,0.5849183201789856,0.1950853019952774
