file,track_id,genre,split
085834.pt,85834,Electronic,training
123501.pt,123501,Electronic,validation
052637.pt,52637,Electronic,training
064864.pt,64864,Experimental,training
119026.pt,119026,Experimental,training
038887.pt,38887,Experimental,validation
088861.pt,88861,Folk,training
117627.pt,117627,Folk,training
117630.pt,117630,Folk,training
075745.pt,75745,Hip-Hop,validation
123980.pt,123980,Hip-Hop,training
040541.pt,40541,Hip-Hop,training
119901.pt,119901,Instrumental,training
133436.pt,133436,Instrumental,validation
094034.pt,94034,Instrumental,training
059707.pt,59707,International,training
107181.pt,107181,International,training
107184.pt,107184,International,training
085598.pt,85598,Pop,test
122807.pt,122807,Pop,training
122810.pt,122810,Pop,training
088960.pt,88960,Rock,training
127330.pt,127330,Rock,test
045475.pt,45475,Rock,training
