track_id,backend,seconds_before_padding,peak,rms
3,librosa,30.0,0.6790179014205933,0.13469870388507843
134,librosa,30.0,0.9635613560676575,0.18051233887672424
136,librosa,29.976598639455784,1.0123977661132812,0.2903302013874054
139,librosa,29.976598639455784,0.8923661112785339,0.1361714005470276
181,librosa,30.0,0.7902414798736572,0.16093505918979645
198,librosa,29.976598639455784,0.7603453993797302,0.1319447159767151
208,librosa,29.976598639455784,0.9534536004066467,0.11105933040380478
209,librosa,30.0,0.5646181702613831,0.09602633863687515
237,librosa,29.976598639455784,0.9988267421722412,0.2311333566904068
247,librosa,29.976598639455784,0.9709005355834961,0.17291463911533356
249,librosa,29.976598639455784,0.7512385249137878,0.14285312592983246
257,librosa,29.976598639455784,0.9907437562942505,0.17837201058864594
258,librosa,30.0,0.9937735795974731,0.1454257071018219
341,librosa,30.0,0.46849918365478516,0.08171183615922928
343,librosa,29.976598639455784,0.40172719955444336,0.061970293521881104
352,librosa,30.0,0.7577846050262451,0.1340356320142746
369,librosa,30.0,1.1261522769927979,0.29790663719177246
397,librosa,29.976598639455784,0.691672682762146,0.22689782083034515
398,librosa,29.976598639455784,0.9480665922164917,0.16501553356647491
399,librosa,29.976598639455784,0.9513401985168457,0.22277943789958954
400,librosa,29.976598639455784,0.9860921502113342,0.20989149808883667
405,librosa,29.976598639455784,0.8468623757362366,0.1409999430179596
414,librosa,29.976598639455784,0.891464352607727,0.10863067954778671
425,librosa,30.0,0.16200481355190277,0.03699353337287903
458,librosa,30.0,1.004912257194519,0.30800381302833557
512,librosa,30.0,1.0807031393051147,0.22911597788333893
535,librosa,29.976598639455784,0.674369752407074,0.1125398576259613
536,librosa,29.976598639455784,0.7635669112205505,0.12545838952064514
537,librosa,30.0,0.6309325098991394,0.07061310112476349
550,librosa,29.976598639455784,1.017350196838379,0.09912924468517303
564,librosa,29.976598639455784,0.9930742383003235,0.155295729637146
573,librosa,29.976598639455784,0.9187894463539124,0.2454320639371872
583,librosa,30.0,0.9841419458389282,0.23121675848960876
584,librosa,30.0,0.9887746572494507,0.25341734290122986
585,librosa,30.0,0.9254072308540344,0.22181260585784912
590,librosa,29.976598639455784,0.8380831480026245,0.12488626688718796
591,librosa,30.0,0.6612862348556519,0.10884629189968109
592,librosa,30.0,0.9270554780960083,0.141739621758461
593,librosa,29.976598639455784,0.9261608123779297,0.13573136925697327
603,librosa,29.976598639455784,1.0618579387664795,0.1318763643503189
605,librosa,30.0,1.1025407314300537,0.18941494822502136
608,librosa,30.0,1.025094985961914,0.1297731250524521
619,librosa,30.0,0.7613872289657593,0.10210196673870087
629,librosa,29.976598639455784,0.6947580575942993,0.1116734966635704
631,librosa,29.976598639455784,0.7119938135147095,0.10227291285991669
633,librosa,30.0,0.9324909448623657,0.2513130307197571
635,librosa,29.976598639455784,0.9613568782806396,0.25831136107444763
664,librosa,29.976598639455784,0.8653299808502197,0.08931270986795425
665,librosa,29.976598639455784,1.0295898914337158,0.16586722433567047
668,librosa,30.0,1.016963243484497,0.17628571391105652
